id,country,election_year,date,headline,article_summary,sentiment,source_type,source_reference,language,text
24,United Kingdom,2024,2024-07-05,Reform UK gains seats,Reform UK entered parliament with several elected MPs.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Reform UK gains seats. Reform UK entered parliament with several elected MPs.
25,United Kingdom,2024,2024-06-27,Leaders make final campaign pitches,Party leaders presented their final messages before polling day.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Leaders make final campaign pitches. Party leaders presented their final messages before polling day.
26,United Kingdom,2024,2024-06-04,Election campaign begins after parliament dissolution,Parties launched nationwide campaigns ahead of the July vote.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Election campaign begins after parliament dissolution. Parties launched nationwide campaigns ahead of the July vote.
27,United Kingdom,2024,2024-07-06,Starmer forms new government,Keir Starmer began forming a government after Labour's election victory.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Starmer forms new government. Keir Starmer began forming a government after Labour's election victory.
28,United Kingdom,2024,2024-07-05,Turnout lower than some previous elections,Election turnout was reported below levels seen in several earlier UK elections.,Negative,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Turnout lower than some previous elections. Election turnout was reported below levels seen in several earlier UK elections.
29,United Kingdom,2024,2024-07-05,Liberal Democrats make parliamentary gains,The Liberal Democrats won a substantially larger number of seats.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Liberal Democrats make parliamentary gains. The Liberal Democrats won a substantially larger number of seats.
30,United Kingdom,2024,2024-07-05,Scottish National Party loses seats,The SNP experienced significant losses in the Westminster election.,Negative,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Scottish National Party loses seats. The SNP experienced significant losses in the Westminster election.
31,Mexico,2024,2024-06-02,Mexico holds presidential election,Mexicans voted in a historic presidential election and congressional contests.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Mexico holds presidential election. Mexicans voted in a historic presidential election and congressional contests.
32,Mexico,2024,2024-06-03,Claudia Sheinbaum wins Mexican presidency,Claudia Sheinbaum won the presidential election and became Mexico's first woman president.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Claudia Sheinbaum wins Mexican presidency. Claudia Sheinbaum won the presidential election and became Mexico's first woman president.
33,Mexico,2024,2024-06-03,Ruling coalition wins congressional strength,The governing coalition secured strong representation in Congress.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Ruling coalition wins congressional strength. The governing coalition secured strong representation in Congress.
34,Mexico,2024,2024-05-19,Final presidential debate held,Mexico's presidential candidates participated in the final televised debate.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Final presidential debate held. Mexico's presidential candidates participated in the final televised debate.
35,Mexico,2024,2024-03-01,Mexican election campaign officially begins,Candidates started campaigning for the presidency and other elected offices.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Mexican election campaign officially begins. Candidates started campaigning for the presidency and other elected offices.
36,Indonesia,2024,2024-02-14,Indonesia votes in presidential election,Millions of Indonesians voted for president and members of the legislature.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Indonesia votes in presidential election. Millions of Indonesians voted for president and members of the legislature.
37,Indonesia,2024,2024-02-15,Prabowo leads early election count,Early counting showed Prabowo Subianto leading the presidential race.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Prabowo leads early election count. Early counting showed Prabowo Subianto leading the presidential race.
38,Indonesia,2024,2024-03-20,Prabowo declared election winner,Indonesia's election commission declared Prabowo Subianto the winner.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Prabowo declared election winner. Indonesia's election commission declared Prabowo Subianto the winner.
39,Indonesia,2024,2024-04-22,Constitutional court rejects election challenge,The court rejected challenges to the presidential election result.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Constitutional court rejects election challenge. The court rejected challenges to the presidential election result.
40,Indonesia,2024,2024-10-20,Prabowo sworn in as president,Prabowo Subianto was inaugurated as Indonesia's president.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Prabowo sworn in as president. Prabowo Subianto was inaugurated as Indonesia's president.
41,South Africa,2024,2024-05-29,South Africa holds national election,South Africans voted in a national and provincial election.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,South Africa holds national election. South Africans voted in a national and provincial election.
42,South Africa,2024,2024-06-01,ANC loses parliamentary majority,The African National Congress lost its long-held majority in the national vote.,Negative,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,ANC loses parliamentary majority. The African National Congress lost its long-held majority in the national vote.
43,South Africa,2024,2024-06-14,Coalition government agreement reached,Political parties agreed to form a government of national unity.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Coalition government agreement reached. Political parties agreed to form a government of national unity.
44,South Africa,2024,2024-06-14,Ramaphosa reelected president,Cyril Ramaphosa was reelected by parliament after the coalition agreement.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Ramaphosa reelected president. Cyril Ramaphosa was reelected by parliament after the coalition agreement.
45,South Africa,2024,2024-06-02,Opposition parties gain ground,Several opposition parties increased their parliamentary representation.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Opposition parties gain ground. Several opposition parties increased their parliamentary representation.
46,France,2024,2024-06-09,France calls snap parliamentary election,President Emmanuel Macron called an early legislative election after the European Parliament vote.,Negative,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,France calls snap parliamentary election. President Emmanuel Macron called an early legislative election after the European Parliament vote.
47,France,2024,2024-06-30,French first-round legislative voting takes place,Voters cast ballots in the first round of the snap parliamentary election.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,French first-round legislative voting takes place. Voters cast ballots in the first round of the snap parliamentary election.
48,France,2024,2024-07-07,French left-wing alliance finishes first in seats,The New Popular Front won the largest number of seats in the second round.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,French left-wing alliance finishes first in seats. The New Popular Front won the largest number of seats in the second round.
49,France,2024,2024-07-08,National Rally falls short of expected majority,The National Rally did not win the parliamentary majority many polls had suggested was possible.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,National Rally falls short of expected majority. The National Rally did not win the parliamentary majority many polls had suggested was possible.
50,France,2024,2024-07-09,French parliament becomes highly fragmented,"No bloc secured a clear majority, creating a difficult coalition-building process.",Negative,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,"French parliament becomes highly fragmented. No bloc secured a clear majority, creating a difficult coalition-building process."
51,European Union,2024,2024-06-06,European Parliament elections begin,Citizens across EU member states began voting in European Parliament elections.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,European Parliament elections begin. Citizens across EU member states began voting in European Parliament elections.
52,European Union,2024,2024-06-09,European Parliament election results announced,European parties received a new mandate from voters across the European Union.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,European Parliament election results announced. European parties received a new mandate from voters across the European Union.
53,European Union,2024,2024-06-10,Right-wing parties gain seats in European Parliament,Several right-wing parties increased their representation following the election.,Negative,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Right-wing parties gain seats in European Parliament. Several right-wing parties increased their representation following the election.
54,European Union,2024,2024-06-10,European People's Party remains largest group,The European People's Party retained its position as the largest parliamentary group.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,European People's Party remains largest group. The European People's Party retained its position as the largest parliamentary group.
55,European Union,2024,2024-06-27,EU leaders agree on top institutional appointments,EU leaders reached agreement on key appointments following the election.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,EU leaders agree on top institutional appointments. EU leaders reached agreement on key appointments following the election.
56,Taiwan,2024,2024-01-13,Taiwan elects Lai Ching-te president,Taiwanese voters elected Lai Ching-te as president.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Taiwan elects Lai Ching-te president. Taiwanese voters elected Lai Ching-te as president.
57,Taiwan,2024,2024-01-13,DPP wins presidency but loses legislative majority,The ruling party retained the presidency but did not secure a legislative majority.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,DPP wins presidency but loses legislative majority. The ruling party retained the presidency but did not secure a legislative majority.
58,Taiwan,2024,2024-01-14,Taiwan election draws strong international attention,The election attracted extensive international interest because of cross-strait tensions.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Taiwan election draws strong international attention. The election attracted extensive international interest because of cross-strait tensions.
59,Taiwan,2024,2024-01-13,Opposition parties gain legislative seats,The Kuomintang and Taiwan People's Party made gains in the legislature.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Opposition parties gain legislative seats. The Kuomintang and Taiwan People's Party made gains in the legislature.
60,Taiwan,2024,2024-01-26,New president prepares transition,The incoming administration began preparing for its May inauguration.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,New president prepares transition. The incoming administration began preparing for its May inauguration.
61,Pakistan,2024,2024-02-08,Pakistan holds general election,Pakistan conducted a nationwide general election amid a tense political environment.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Pakistan holds general election. Pakistan conducted a nationwide general election amid a tense political environment.
62,Pakistan,2024,2024-02-09,Independent candidates linked to PTI win many seats,Candidates backed by Imran Khan's movement performed strongly despite restrictions.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Independent candidates linked to PTI win many seats. Candidates backed by Imran Khan's movement performed strongly despite restrictions.
63,Pakistan,2024,2024-02-11,Coalition talks begin after fragmented result,Major parties began negotiations to form the next government.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Coalition talks begin after fragmented result. Major parties began negotiations to form the next government.
64,Pakistan,2024,2024-02-13,PML-N and PPP agree to form coalition,The two parties announced an agreement to establish a coalition government.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,PML-N and PPP agree to form coalition. The two parties announced an agreement to establish a coalition government.
65,Pakistan,2024,2024-03-03,Shehbaz Sharif elected prime minister,Pakistan's parliament elected Shehbaz Sharif as prime minister.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Shehbaz Sharif elected prime minister. Pakistan's parliament elected Shehbaz Sharif as prime minister.
66,Bangladesh,2024,2024-01-07,Bangladesh holds general election,Bangladesh held a national election amid an opposition boycott.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Bangladesh holds general election. Bangladesh held a national election amid an opposition boycott.
67,Bangladesh,2024,2024-01-07,Awami League wins election,The Awami League won another parliamentary term.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Awami League wins election. The Awami League won another parliamentary term.
68,Bangladesh,2024,2024-01-08,Low turnout reported in Bangladesh vote,Election authorities reported relatively low participation after the opposition boycott.,Negative,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Low turnout reported in Bangladesh vote. Election authorities reported relatively low participation after the opposition boycott.
69,Bangladesh,2024,2024-01-11,Sheikh Hasina begins new term,Sheikh Hasina was sworn in for another term as prime minister.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Sheikh Hasina begins new term. Sheikh Hasina was sworn in for another term as prime minister.
70,Bangladesh,2024,2024-01-08,Election faces criticism from opposition,Opposition groups criticized the electoral process and called the vote unfair.,Negative,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Election faces criticism from opposition. Opposition groups criticized the electoral process and called the vote unfair.
71,Russia,2024,2024-03-15,Russian presidential voting begins,Russia opened voting for its presidential election.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Russian presidential voting begins. Russia opened voting for its presidential election.
72,Russia,2024,2024-03-18,Putin wins Russian presidential election,Vladimir Putin was declared the winner with a large reported vote share.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Putin wins Russian presidential election. Vladimir Putin was declared the winner with a large reported vote share.
73,Russia,2024,2024-03-18,Western governments criticize Russian election,Western governments questioned the fairness and competitiveness of the election.,Negative,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Western governments criticize Russian election. Western governments questioned the fairness and competitiveness of the election.
74,Russia,2024,2024-03-17,Navalny supporters protest during election,Supporters of the late opposition leader organized a symbolic protest at polling locations.,Negative,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Navalny supporters protest during election. Supporters of the late opposition leader organized a symbolic protest at polling locations.
75,Russia,2024,2024-03-18,Putin prepares for another presidential term,The result cleared the way for Putin to begin another six-year term.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Putin prepares for another presidential term. The result cleared the way for Putin to begin another six-year term.
76,Ghana,2024,2024-12-07,Ghana holds presidential election,Ghanaians voted in a closely watched presidential and parliamentary election.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Ghana holds presidential election. Ghanaians voted in a closely watched presidential and parliamentary election.
77,Ghana,2024,2024-12-08,John Mahama wins Ghana election,Former president John Mahama won the presidential election.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,John Mahama wins Ghana election. Former president John Mahama won the presidential election.
78,Ghana,2024,2024-12-08,Vice president concedes Ghana election,Vice President Mahamudu Bawumia conceded defeat before final official results were released.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Vice president concedes Ghana election. Vice President Mahamudu Bawumia conceded defeat before final official results were released.
79,Ghana,2024,2024-12-09,Peaceful transfer praised in Ghana,The election and concession were widely described as an orderly democratic transition.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Peaceful transfer praised in Ghana. The election and concession were widely described as an orderly democratic transition.
80,Ghana,2024,2024-12-08,Ruling party loses power after economic concerns,Economic difficulties were a major issue in the governing party's defeat.,Negative,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Ruling party loses power after economic concerns. Economic difficulties were a major issue in the governing party's defeat.
81,Senegal,2024,2024-03-24,Senegal holds presidential election,Senegal held a presidential election after months of political uncertainty.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Senegal holds presidential election. Senegal held a presidential election after months of political uncertainty.
82,Senegal,2024,2024-03-25,Bassirou Diomaye Faye wins Senegal presidency,Bassirou Diomaye Faye won the presidential election in the first round.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Bassirou Diomaye Faye wins Senegal presidency. Bassirou Diomaye Faye won the presidential election in the first round.
83,Senegal,2024,2024-03-25,Faye victory brings opposition to power,The result marked a major political change after years of rule by the outgoing governing coalition.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Faye victory brings opposition to power. The result marked a major political change after years of rule by the outgoing governing coalition.
84,Senegal,2024,2024-04-02,Faye sworn in as president,Bassirou Diomaye Faye formally took office as president.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Faye sworn in as president. Bassirou Diomaye Faye formally took office as president.
85,Senegal,2024,2024-03-25,Election praised for peaceful outcome,The election was followed by messages praising Senegal's democratic process.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Election praised for peaceful outcome. The election was followed by messages praising Senegal's democratic process.
86,Rwanda,2024,2024-07-15,Rwanda holds presidential election,Rwandans voted in a presidential and parliamentary election.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Rwanda holds presidential election. Rwandans voted in a presidential and parliamentary election.
87,Rwanda,2024,2024-07-18,Paul Kagame wins Rwanda election,Paul Kagame won another presidential term with a very large reported vote share.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Paul Kagame wins Rwanda election. Paul Kagame won another presidential term with a very large reported vote share.
88,Rwanda,2024,2024-07-16,Rwanda election turnout remains high,Election officials reported high voter participation.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Rwanda election turnout remains high. Election officials reported high voter participation.
89,Rwanda,2024,2024-07-17,Opposition candidates challenge political environment,Opposition figures raised concerns about the competitive environment surrounding the election.,Negative,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Opposition candidates challenge political environment. Opposition figures raised concerns about the competitive environment surrounding the election.
90,Rwanda,2024,2024-07-23,Kagame sworn in for another term,Paul Kagame was inaugurated for another presidential term.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Kagame sworn in for another term. Paul Kagame was inaugurated for another presidential term.
91,Venezuela,2024,2024-07-28,Venezuela holds presidential election,Venezuelans voted in a closely watched presidential election.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Venezuela holds presidential election. Venezuelans voted in a closely watched presidential election.
92,Venezuela,2024,2024-07-29,Maduro declared winner amid dispute,Authorities declared Nicolás Maduro the winner while the opposition disputed the result.,Negative,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Maduro declared winner amid dispute. Authorities declared Nicolás Maduro the winner while the opposition disputed the result.
93,Venezuela,2024,2024-07-29,Opposition claims election victory,Opposition leaders said their candidate Edmundo González won the election.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Opposition claims election victory. Opposition leaders said their candidate Edmundo González won the election.
94,Venezuela,2024,2024-08-01,International pressure grows over Venezuelan result,Governments called for greater transparency and publication of polling records.,Negative,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,International pressure grows over Venezuelan result. Governments called for greater transparency and publication of polling records.
95,Venezuela,2024,2024-08-10,Protests follow disputed Venezuelan election,Demonstrations and clashes followed the disputed presidential result.,Negative,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Protests follow disputed Venezuelan election. Demonstrations and clashes followed the disputed presidential result.
96,Brazil,2022,2022-10-30,Brazil presidential runoff is held,Brazilian voters chose between Luiz Inácio Lula da Silva and Jair Bolsonaro in the presidential runoff.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Brazil presidential runoff is held. Brazilian voters chose between Luiz Inácio Lula da Silva and Jair Bolsonaro in the presidential runoff.
97,Brazil,2022,2022-10-31,Lula wins Brazil presidential election,Luiz Inácio Lula da Silva narrowly defeated Jair Bolsonaro and returned to the presidency.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Lula wins Brazil presidential election. Luiz Inácio Lula da Silva narrowly defeated Jair Bolsonaro and returned to the presidency.
98,Argentina,2023,2023-11-19,Argentina holds presidential runoff,Argentine voters chose between Javier Milei and Sergio Massa in the presidential runoff.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Argentina holds presidential runoff. Argentine voters chose between Javier Milei and Sergio Massa in the presidential runoff.
99,Argentina,2023,2023-11-20,Javier Milei wins Argentina presidency,Javier Milei won the presidential runoff and promised major economic changes.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Javier Milei wins Argentina presidency. Javier Milei won the presidential runoff and promised major economic changes.
100,Turkey,2023,2023-05-28,Turkey presidential runoff won by Erdogan,Recep Tayyip Erdogan won the presidential runoff and secured another term.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Turkey presidential runoff won by Erdogan. Recep Tayyip Erdogan won the presidential runoff and secured another term.
101,India,2024,2024-04-19,First phase of Lok Sabha voting begins,India opened its seven-phase Lok Sabha election with polling in the first group of constituencies.,Neutral,Real-world election event; paraphrased for dataset use,Reuters election coverage / verify against original source before publication,English,First phase of Lok Sabha voting begins. India opened its seven-phase Lok Sabha election with polling in the first group of constituencies.
102,India,2024,2024-04-26,Second phase of Lok Sabha voting held,Voters in several states participated in the second phase of the national parliamentary election.,Neutral,Real-world election event; paraphrased for dataset use,Reuters election coverage / verify against original source before publication,English,Second phase of Lok Sabha voting held. Voters in several states participated in the second phase of the national parliamentary election.
103,India,2024,2024-05-07,Third phase polling covers additional constituencies,The third phase of voting took place across multiple Indian states and union territories.,Neutral,Real-world election event; paraphrased for dataset use,Reuters election coverage / verify against original source before publication,English,Third phase polling covers additional constituencies. The third phase of voting took place across multiple Indian states and union territories.
104,India,2024,2024-05-13,Fourth phase of Indian election takes place,The fourth phase brought more constituencies to the polls as the nationwide election continued.,Neutral,Real-world election event; paraphrased for dataset use,Reuters election coverage / verify against original source before publication,English,Fourth phase of Indian election takes place. The fourth phase brought more constituencies to the polls as the nationwide election continued.
105,India,2024,2024-05-20,Fifth phase of polling held across India,"The fifth phase of voting was conducted with campaigning focused on jobs, prices and development.",Neutral,Real-world election event; paraphrased for dataset use,Reuters election coverage / verify against original source before publication,English,"Fifth phase of polling held across India. The fifth phase of voting was conducted with campaigning focused on jobs, prices and development."
